
NamePartGroupID,NamePartTypeID,ParentRef,DistinctPartyRef,NamePartTypeValue
20952,1521,6862,6862,First Name
20953,1520,6862,6862,Last Name
20954,1521,6862,6862,First Name
20955,1520,6862,6862,Last Name
20956,1521,6862,6862,First Name
20957,1520,6862,6862,Last Name
20958,1521,6862,6862,First Name
20959,1520,6862,6862,Last Name
20960,1521,6862,6862,First Name
20961,1520,6862,6862,Last Name
20962,1521,6862,6862,First Name
20963,1520,6862,6862,Last Name
20964,1521,6862,6862,First Name
20965,1520,6862,6862,Last Name
20966,1521,6862,6862,First Name
20967,1520,6862,6862,Last Name
20968,1521,6862,6862,First Name
20969,1520,6862,6862,Last Name
20970,1521,6862,6862,First Name
20971,1520,6862,6862,Last Name
20972,1521,6862,6862,First Name
20973,1520,6862,6862,Last Name
20974,1521,6862,6862,First Name
20975,1520,6862,6862,Last Name
20976,1521,6862,6862,First Name
20977,1520,6862,6862,Last Name
20978,1521,6862,6862,First Name
20979,1520,6862,6862,Last Name
20980,1521,6862,6862,First Name
20981,1520,6862,6862,Last Name
20982,1521,6862,6862,First Name
20983,1520,6862,6862,Last Name
20984,1521,6862,6862,First Name
20985,1520,6862,6862,Last Name
20986,1521,6862,6862,First Name
20987,1520,6862,6862,Last Name
20988,1521,6862,6862,First Name
20989,1520,6862,6862,Last Name
20990,1521,6862,6862,First Name
20991,1520,6862,6862,Last Name
20992,1521,6862,6862,First Name
20993,1520,6862,6862,Last Name
20994,1521,6862,6862,First Name
20995,1520,6862,6862,Last Name
20996,1521,6862,6862,First Name
20997,1520,6862,6862,Last Name
20998,1521,6862,6862,First Name
20999,1520,6862,6862,Last Name
21000,1521,6862,6862,First Name
21001,1520,6862,6862,Last Name
21002,1521,6862,6862,First Name
21003,1520,6862,6862,Last Name
21004,1521,6862,6862,First Name
21005,1520,6862,6862,Last Name
21006,1521,6862,6862,First Name
21007,1520,6862,6862,Last Name
21008,1521,6862,6862,First Name
4710,1520,6863,6863,Last Name
4711,1521,6863,6863,First Name
4712,1520,6864,6864,Last Name
4713,1521,6864,6864,First Name
21009,1520,6864,6864,Last Name
21010,1521,6864,6864,First Name
21011,1520,6864,6864,Last Name
21012,1521,6864,6864,First Name
21013,1520,6864,6864,Last Name
21014,1521,6864,6864,First Name
21015,1520,6864,6864,Last Name
21016,1521,6864,6864,First Name
21017,1520,6864,6864,Last Name
21018,1521,6864,6864,First Name
21019,1520,6864,6864,Last Name
21020,1521,6864,6864,First Name
21021,1520,6864,6864,Last Name
21022,1521,6864,6864,First Name
4714,1520,6865,6865,Last Name
4715,1521,6865,6865,First Name
21023,1520,6865,6865,Last Name
21024,1521,6865,6865,First Name
21025,1520,6865,6865,Last Name
21026,1521,6865,6865,First Name
21027,1520,6865,6865,Last Name
21028,1521,6865,6865,First Name
21029,1520,6865,6865,Last Name
21030,1521,6865,6865,First Name
21031,1520,6865,6865,Last Name
21032,1521,6865,6865,First Name
21033,1520,6865,6865,Last Name
21034,1521,6865,6865,First Name
21035,1520,6865,6865,Last Name
21036,1521,6865,6865,First Name
21037,1520,6865,6865,Last Name
21038,1521,6865,6865,First Name
21039,1520,6865,6865,Last Name
21040,1521,6865,6865,First Name
21041,1520,6865,6865,Last Name
21042,1521,6865,6865,First Name
21043,1520,6865,6865,Last Name
21044,1521,6865,6865,First Name
21045,1520,6865,6865,Last Name
21046,1521,6865,6865,First Name
21047,1520,6865,6865,Last Name
21048,1521,6865,6865,First Name
21049,1520,6865,6865,Last Name
21050,1521,6865,6865,First Name
21051,1520,6865,6865,Last Name
